Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,345.48748779296875,351.7124938964844,342.75,350.60626220703125,191.3038787841797,1022608
2012-01-03,353.125,360.8374938964844,352.4437561035156,358.07501220703125,195.379150390625,1538208
2012-01-04,356.75,359.0,355.25,356.78125,194.67323303222656,1185912
2012-01-05,355.0,359.5,353.875,354.86248779296875,193.62625122070312,980712
2012-01-06,354.86248779296875,358.54376220703125,351.25,353.83123779296875,193.06358337402344,1591440
2012-01-09,356.09375,358.25,352.5,354.5249938964844,193.44212341308594,857928
2012-01-10,357.125,359.61248779296875,356.26251220703125,357.875,195.27003479003906,1284696
2012-01-11,358.375,361.9125061035156,351.5625,353.25,192.74644470214844,1482616
2012-01-12,343.0,343.0,322.25,323.57501220703125,176.5546417236328,8236088
2012-01-13,326.375,327.34375,319.375,323.1937561035156,176.3466033935547,3408992
2012-01-16,323.1000061035156,330.125,322.5,329.26251220703125,179.657958984375,1772864
2012-01-17,331.25,333.5,329.26251220703125,332.53125,181.44149780273438,1161120
2012-01-18,330.5,330.5,323.1625061035156,326.3187561035156,178.05172729492188,967120
2012-01-19,326.0375061035156,327.9437561035156,322.125,323.98748779296875,176.77969360351562,956296
2012-01-20,324.98748779296875,326.2437438964844,321.8999938964844,322.9437561035156,176.21018981933594,846856
2012-01-23,322.5,327.0,322.5,324.9937438964844,177.32875061035156,570472
2012-01-24,327.625,329.8999938964844,324.41876220703125,327.51251220703125,178.70306396484375,655544
2012-01-25,328.75,333.75,328.09375,332.46875,181.40740966796875,729440
2012-01-27,336.875,341.23748779296875,335.7562561035156,340.07501220703125,185.5576629638672,1094336
2012-01-30,337.5,339.875,336.2562561035156,338.23748779296875,184.55502319335938,508888
2012-01-31,339.375,344.0,338.5,342.91876220703125,187.10934448242188,580336
2012-02-01,342.7124938964844,342.7124938964844,336.98126220703125,341.85626220703125,186.52955627441406,602952
2012-02-02,343.11248779296875,347.5,341.0687561035156,344.1812438964844,187.7982177734375,673384
2012-02-03,342.5,348.32501220703125,342.375,347.4937438964844,189.60562133789062,600920
2012-02-06,350.2749938964844,351.125,344.3999938964844,347.0375061035156,189.35665893554688,603504
2012-02-07,350.01251220703125,350.01251220703125,339.29376220703125,340.6312561035156,185.86114501953125,1682936
2012-02-08,343.625,347.48748779296875,343.125,346.08123779296875,188.83489990234375,469128
2012-02-09,343.75,352.5,341.5,350.90625,191.4675750732422,615640
2012-02-10,348.7562561035156,349.84375,344.20623779296875,347.8374938964844,189.7931671142578,556496
2012-02-13,347.4937438964844,349.3187561035156,344.01251220703125,348.0375061035156,189.9022979736328,412592
2012-02-14,346.875,351.0,345.625,350.04998779296875,191.00038146972656,553136
2012-02-15,352.01251220703125,359.375,352.01251220703125,358.40625,195.5598602294922,983256
2012-02-16,357.5,363.57501220703125,357.5,362.91876220703125,198.0220489501953,767920
2012-02-17,363.875,371.875,362.5,368.82501220703125,201.24476623535156,1112704
2012-02-21,366.5,369.8687438964844,364.03125,367.14373779296875,200.327392578125,522016
2012-02-22,367.5,373.75,363.5,369.08123779296875,201.38455200195312,1113576
2012-02-23,366.375,372.6937561035156,364.5,366.875,200.18075561523438,539048
2012-02-24,367.0,371.5,365.7875061035156,368.4125061035156,201.0196533203125,474248
2012-02-27,370.01251220703125,370.01251220703125,356.875,360.04376220703125,196.453369140625,456688
2012-02-28,360.625,363.59375,356.875,358.9312438964844,195.84632873535156,505280
2012-02-29,362.5,363.625,358.125,359.42498779296875,196.11573791503906,773168
2012-03-01,358.125,358.75,350.7875061035156,356.1000061035156,194.3014678955078,564368
2012-03-02,357.5249938964844,358.125,352.0625,355.82501220703125,194.1514434814453,383176
2012-03-03,356.5687561035156,357.875,356.125,357.42498779296875,195.02447509765625,30032
2012-03-05,356.5,358.1812438964844,349.5,351.16876220703125,191.61080932617188,325880
2012-03-06,350.5,359.9624938964844,350.32501220703125,356.1312561035156,194.3185577392578,421464
2012-03-07,355.625,361.0,354.625,359.95001220703125,196.4022216796875,791512
2012-03-09,362.5,363.04998779296875,356.51251220703125,357.48126220703125,195.05516052246094,374184
2012-03-12,363.8812561035156,363.9375,348.375,352.1000061035156,192.1189727783203,695272
2012-03-13,354.5249938964844,358.5,354.5249938964844,357.4312438964844,195.02789306640625,305408
2012-03-14,360.625,364.41876220703125,354.4437561035156,359.9125061035156,196.38172912597656,961568
2012-03-15,360.26873779296875,362.78125,358.75,360.2250061035156,196.55224609375,281120
2012-03-16,362.5,363.75,356.26873779296875,358.2562561035156,195.47802734375,545504
2012-03-19,361.01251220703125,362.1499938964844,351.51873779296875,354.1312561035156,193.22727966308594,325648
2012-03-20,352.9437561035156,356.5,350.3812561035156,353.1625061035156,192.69871520996094,679136
2012-03-21,353.3999938964844,361.25,352.8812561035156,358.36248779296875,195.5360107421875,363840
2012-03-22,358.375,359.125,352.1875,353.375,192.8146209716797,364624
2012-03-23,354.875,360.625,354.125,358.79376220703125,195.77130126953125,345968
2012-03-26,356.5,358.5,352.625,353.9312438964844,193.11813354492188,356528
2012-03-27,357.125,362.5,354.125,359.41876220703125,196.11233520507812,1597104
2012-03-28,358.73748779296875,359.1499938964844,352.95001220703125,355.1937561035156,193.80703735351562,350744
